subject_id,session_id,condition_index,condition_name,condition_score,phase,trial_global,trial_in_condition,mini_block,position,motor_id,correct_symbol,correct_consonant,response_symbol,response_source,is_correct,voice_onset_rt_sec,response_confirm_rt_sec,top5_json,timestamp,source_file,condition_type,position_label,learning_trial_index,retention_trial_index,symbol_exposure_index,position_exposure_index,mini_block_calc
1,20260602_183742,1,C1_PhoneLike,8,learning,1,1,1,9,7,지읒,ㅈ,지읒,top1,1,1.5076706998515874,4.066140174865723,"[[""지읒"", 0.23604757571463217], [""비읍"", 0.17664860364256038], [""시옷"", 0.1367800828407211], [""디귿"", 0.11928299428741143], [""기역"", 0.11809297008843843]]",1780393212.5036285,data\logs\subject_001_20260602_183742.csv,High-schema,P9 elbow-right,1.0,,1.0,1.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,2,2,1,6,4,비읍,ㅂ,시옷,top1,0,3.065247099846601,4.461895704269409,"[[""시옷"", 0.23773218669818597], [""비읍"", 0.1919104145338919], [""지읒"", 0.1878774550007597], [""디귿"", 0.13158933724664462], [""기역"", 0.07463111938361147]]",1780393222.2142577,data\logs\subject_001_20260602_183742.csv,High-schema,P6 mid-right,2.0,,1.0,1.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,3,3,1,5,5,미음,ㅁ,이응,top1,0,1.9875054999720303,3.6607391834259033,"[[""이응"", 0.5108335289337178], [""미음"", 0.24828716788701186], [""리을"", 0.06950093267103856], [""비읍"", 0.038502842906637906], [""니은"", 0.03615383985114051]]",1780393234.2065265,data\logs\subject_001_20260602_183742.csv,High-schema,P5 mid-center,3.0,,1.0,1.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,4,4,1,4,6,리을,ㄹ,리을,top1,1,3.5181030998937786,4.806251525878906,"[[""리을"", 0.2484502657981673], [""미음"", 0.18116276129401662], [""니은"", 0.14673385566717168], [""디귿"", 0.12011198519827442], [""이응"", 0.08729574196458977]]",1780393241.0549755,data\logs\subject_001_20260602_183742.csv,High-schema,P4 mid-left,4.0,,1.0,1.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,5,5,1,1,3,기역,ㄱ,기역,top1,1,1.058392799925059,2.2656142711639404,"[[""기역"", 0.32574485330940917], [""비읍"", 0.19537553039702663], [""시옷"", 0.1897267710418781], [""지읒"", 0.09188681351584474], [""이응"", 0.06795795020166091]]",1780393245.7280092,data\logs\subject_001_20260602_183742.csv,High-schema,P1 wrist-left,5.0,,1.0,1.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,6,6,1,7,9,시옷,ㅅ,시옷,top1,1,2.136003100080416,3.2476773262023926,"[[""시옷"", 0.47360033791163886], [""비읍"", 0.15653903524343407], [""지읒"", 0.14676507455574875], [""기역"", 0.07676518273575882], [""디귿"", 0.03994113919403045]]",1780393249.991886,data\logs\subject_001_20260602_183742.csv,High-schema,P7 elbow-left,6.0,,1.0,1.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,7,7,1,8,8,이응,ㅇ,이응,top1,1,2.46386340004392,3.61202883720398,"[[""이응"", 0.4805074852590374], [""미음"", 0.14226290856396243], [""리을"", 0.13231118147533696], [""비읍"", 0.07501019604369151], [""니은"", 0.039497802422155934]]",1780393254.259802,data\logs\subject_001_20260602_183742.csv,High-schema,P8 elbow-center,7.0,,1.0,1.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,8,8,1,2,2,니은,ㄴ,니은,top4,1,1.1441193998325616,3.2704145908355717,"[[""미음"", 0.2883665904496391], [""이응"", 0.24488822477188152], [""리을"", 0.10815190984709575], [""니은"", 0.10659222842869516], [""비읍"", 0.07739404822932484]]",1780393258.0610511,data\logs\subject_001_20260602_183742.csv,High-schema,P2 wrist-center,8.0,,1.0,1.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,9,9,1,6,4,비읍,ㅂ,비읍,top1,1,2.257654500193894,3.3835010528564453,"[[""비읍"", 0.3741473228603109], [""디귿"", 0.19744059098286157], [""미음"", 0.13441686166997424], [""니은"", 0.07302766476227288], [""지읒"", 0.06635729484212173]]",1780393261.9789462,data\logs\subject_001_20260602_183742.csv,High-schema,P6 mid-right,9.0,,2.0,2.0,1.0
1,20260602_183742,1,C1_PhoneLike,8,learning,10,10,2,4,6,리을,ㄹ,시옷,top1,0,3.9062018000986423,4.9633848667144775,"[[""시옷"", 0.4735870349087753], [""기역"", 0.24159733073782674], [""미음"", 0.04966058134632846], [""이응"", 0.049285067641561715], [""비읍"", 0.046473349738455974]]",1780393267.5555203,data\logs\subject_001_20260602_183742.csv,High-schema,P4 mid-left,10.0,,2.0,2.0,2.0
1,20260602_183742,1,C1_PhoneLike,8,learning,11,11,2,3,1,디귿,ㄷ,디귿,top2,1,1.0885848000179976,2.511068105697632,"[[""비읍"", 0.2827213390449699], [""디귿"", 0.24295952343054308], [""미음"", 0.09816806138119703], [""지읒"", 0.08943114066427052], [""이응"", 0.07602998487001855]]",1780393272.5877826,data\logs\subject_001_20260602_183742.csv,High-schema,P3 wrist-right,11.0,,1.0,1.0,2.0
